Block Name,Point ID,nut,nuTilda,p,Points_0,Points_1,Points_2,Points_Magnitude,U_0,U_1,U_2,U_Magnitude
internalMesh,0,0,0,5.20722,0,-0.04,0.25,0.25318,5.04021e-05,0.000117991,1.3632,1.3632
internalMesh,1,0,0,5.20722,0,-0.04,0.25,0.25318,5.04021e-05,0.000117991,1.3632,1.3632
internalMesh,2,0,0,5.20774,0,-0.0349106,0.25,0.252426,5.16187e-05,0.000140612,1.49983,1.49983
internalMesh,3,0,0,5.20803,0,-0.0321362,0.25,0.252057,5.22818e-05,0.000152943,1.57431,1.57431
internalMesh,4,0,0,5.20803,0,-0.0321362,0.25,0.252057,5.22818e-05,0.000152943,1.57431,1.57431
internalMesh,5,0,0,5.20845,0,-0.0282699,0.25,0.251593,5.88055e-05,0.000166988,1.6526,1.6526
internalMesh,6,0,0,5.20845,0,-0.0282699,0.25,0.251593,5.88055e-05,0.000166988,1.6526,1.6526
internalMesh,7,0,0,5.20845,0,-0.0282699,0.25,0.251593,5.88055e-05,0.000166988,1.6526,1.6526
internalMesh,8,0,0,5.20889,0,-0.0241819,0.25,0.251167,6.57032e-05,0.000181837,1.73538,1.73538
internalMesh,9,0,0,5.20889,0,-0.0241819,0.25,0.251167,6.57032e-05,0.000181837,1.73538,1.73538
internalMesh,10,0,0,5.2092,0,-0.0210703,0.25,0.250886,7.17429e-05,0.000183009,1.77706,1.77706
internalMesh,11,0,0,5.2097,0,-0.0161592,0.25,0.250522,8.12755e-05,0.000184858,1.84284,1.84284
internalMesh,12,0,0,5.2097,0,-0.0161592,0.25,0.250522,8.12755e-05,0.000184858,1.84284,1.84284
internalMesh,13,0,0,5.21028,0,-0.00959444,0.25,0.250184,9.25987e-05,0.000162269,1.89283,1.89283
internalMesh,14,0,0,5.21028,0,-0.00959444,0.25,0.250184,9.25987e-05,0.000162269,1.89283,1.89283
internalMesh,15,0,0,5.21028,0,-0.00959444,0.25,0.250184,9.25987e-05,0.000162269,1.89283,1.89283
internalMesh,16,0,0,5.21042,0,-0.00809104,0.25,0.250131,9.51918e-05,0.000157095,1.90427,1.90427
internalMesh,17,0,0,5.21099,0,0,0.25,0.25,0.000105716,0.000107031,1.92425,1.92425
internalMesh,18,0,0,5.21099,0,0,0.25,0.25,0.000105716,0.000107031,1.92425,1.92425
internalMesh,19,0,0,5.21099,0,0,0.25,0.25,0.000105716,0.000107031,1.92425,1.92425
internalMesh,20,0,0,5.21099,0,0,0.25,0.25,0.000105716,0.000107031,1.92425,1.92425
internalMesh,21,0,0,5.2114,0,0.00809104,0.25,0.250131,0.000111471,5.06954e-05,1.9043,1.9043
internalMesh,22,0,0,5.2114,0,0.00809104,0.25,0.250131,0.000111471,5.06954e-05,1.9043,1.9043
internalMesh,23,0,0,5.21145,0,0.00955799,0.25,0.250183,0.000111302,4.19401e-05,1.89313,1.89313
internalMesh,24,0,0,5.21145,0,0.00955799,0.25,0.250183,0.000111302,4.19401e-05,1.89313,1.89313
internalMesh,25,0,0,5.21145,0,0.00955799,0.25,0.250183,0.000111302,4.19401e-05,1.89313,1.89313
internalMesh,26,0,0,5.21164,0,0.0161592,0.25,0.250522,0.000110544,2.54122e-06,1.84289,1.84289
internalMesh,27,0,0,5.21164,0,0.0161592,0.25,0.250522,0.000110544,2.54122e-06,1.84289,1.84289
internalMesh,28,0,0,5.21169,0,0.0210379,0.25,0.250884,0.000104881,-1.65614e-05,1.77756,1.77756
internalMesh,29,0,0,5.21173,0,0.0241819,0.25,0.251167,0.000101232,-2.88719e-05,1.73545,1.73545
internalMesh,30,0,0,5.21173,0,0.0241819,0.25,0.251167,0.000101232,-2.88719e-05,1.73545,1.73545
internalMesh,31,0,0,5.21171,0,0.0284145,0.25,0.25161,9.18532e-05,-3.58888e-05,1.64975,1.64975
internalMesh,32,0,0,5.21171,0,0.0284145,0.25,0.25161,9.18532e-05,-3.58888e-05,1.64975,1.64975
internalMesh,33,0,0,5.21171,0,0.0284145,0.25,0.25161,9.18532e-05,-3.58888e-05,1.64975,1.64975
internalMesh,34,0,0,5.2117,0,0.0321362,0.25,0.252057,8.36063e-05,-4.20589e-05,1.57439,1.57439
internalMesh,35,0,0,5.2117,0,0.0321362,0.25,0.252057,8.36063e-05,-4.20589e-05,1.57439,1.57439
internalMesh,36,0,0,5.21167,0,0.0348645,0.25,0.252419,7.7448e-05,-4.18552e-05,1.50116,1.50116
internalMesh,37,0,0,5.21162,0,0.04,0.25,0.25318,6.58558e-05,-4.14718e-05,1.3633,1.3633
internalMesh,38,0,0,5.21162,0,0.04,0.25,0.25318,6.58558e-05,-4.14718e-05,1.3633,1.3633
internalMesh,39,0,0,5.21157,0,0.0438571,0.25,0.253818,5.77576e-05,-3.65608e-05,1.21854,1.21854
internalMesh,40,0,0,5.21157,0,0.0438571,0.25,0.253818,5.77576e-05,-3.65608e-05,1.21854,1.21854
internalMesh,41,0,0,5.21157,0,0.0438571,0.25,0.253818,5.77576e-05,-3.65608e-05,1.21854,1.21854
internalMesh,42,0,0,5.20662,0,-0.046,0.25,0.254197,5.95655e-05,8.97392e-05,1.13799,1.13799
internalMesh,43,0,0,5.21154,0,0.046,0.25,0.254197,5.32585e-05,-3.38324e-05,1.13811,1.13811
internalMesh,44,0,0,5.21154,0,0.046,0.25,0.254197,5.32585e-05,-3.38324e-05,1.13811,1.13811
internalMesh,45,0,0,5.21147,0,0.052,0.25,0.255351,4.28274e-05,-2.31962e-05,0.905464,0.905464
internalMesh,46,0,0,5.21147,0,0.052,0.25,0.255351,4.28274e-05,-2.31962e-05,0.905464,0.905464
internalMesh,47,0,0,5.2114,0,0.058,0.25,0.25664,3.08075e-05,-1.20604e-05,0.641736,0.641736
internalMesh,48,0,0,5.2114,0,0.058,0.25,0.25664,3.08075e-05,-1.20604e-05,0.641736,0.641736
internalMesh,49,0,0,5.21135,0,0.064,0.25,0.258062,1.32931e-05,-3.7799e-06,0.341372,0.341372
internalMesh,50,0,0,5.21135,0,0.064,0.25,0.258062,1.32931e-05,-3.7799e-06,0.341372,0.341372
internalMesh,51,1.50381e-08,0,5.21133,0,0.07,0.25,0.259615,0,0,0,0
internalMesh,52,0,0,5.20662,0,-0.046,0.25,0.254197,5.95655e-05,8.97392e-05,1.13799,1.13799
internalMesh,53,0,0,5.20662,0,-0.046,0.25,0.254197,5.95655e-05,8.97392e-05,1.13799,1.13799
internalMesh,54,0,0,5.20625,0,-0.052,0.25,0.255351,6.83188e-05,6.56658e-05,0.905332,0.905332
internalMesh,55,0,0,5.20625,0,-0.052,0.25,0.255351,6.83188e-05,6.56658e-05,0.905332,0.905332
internalMesh,56,0,0,5.20604,0,-0.058,0.25,0.25664,6.50599e-05,4.39668e-05,0.641615,0.641615
internalMesh,57,0,0,5.20604,0,-0.058,0.25,0.25664,6.50599e-05,4.39668e-05,0.641615,0.641615
internalMesh,58,0,0,5.20592,0,-0.064,0.25,0.258062,3.7961e-05,2.46266e-05,0.341312,0.341312
internalMesh,59,0,0,5.20592,0,-0.064,0.25,0.258062,3.7961e-05,2.46266e-05,0.341312,0.341312
internalMesh,60,1.5036e-08,0,5.20588,0,-0.07,0.25,0.259615,0,0,0,0
